time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
3.0951,2019-09-08 18:20:43.095913,316.0,186.0,172.0,218.0,290.0,166.0,292.0,206.0,,-19,8342368
3.1119,2019-09-08 18:20:43.115485,316.0,186.0,172.0,218.0,290.0,206.0,196.0,290.0,,-19,8341973
3.1316,2019-09-08 18:20:43.124806,316.0,186.0,172.0,218.0,290.0,206.0,196.0,166.0,,-19,8342679
3.1409,2019-09-08 18:20:43.138235,316.0,186.0,172.0,218.0,196.0,166.0,196.0,290.0,,-19,8341710
3.1545,2019-09-08 18:20:43.166652,316.0,186.0,172.0,218.0,196.0,206.0,290.0,206.0,,-19,8341932
3.1834,2019-09-08 18:20:43.174458,316.0,186.0,172.0,218.0,196.0,166.0,196.0,166.0,,-19,8342496
3.192,2019-09-08 18:20:43.188551,316.0,186.0,172.0,218.0,166.0,290.0,206.0,198.0,,-19,8341520
3.2049,2019-09-08 18:20:43.212974,318.0,186.0,172.0,218.0,166.0,288.0,206.0,196.0,,-19,8342230
3.229,2019-09-08 18:20:43.219292,318.0,186.0,172.0,218.0,290.0,206.0,196.0,166.0,,-19,8341942
3.2353,2019-09-08 18:20:43.230615,316.0,186.0,172.0,218.0,288.0,206.0,196.0,166.0,,-19,8342209
3.2466,2019-09-08 18:20:43.246180,316.0,186.0,172.0,220.0,206.0,206.0,166.0,166.0,,-19,8341908
3.2622,2019-09-08 18:20:43.260084,318.0,186.0,172.0,220.0,288.0,206.0,196.0,166.0,,-19,8342178
3.2762,2019-09-08 18:20:43.277827,316.0,186.0,172.0,218.0,288.0,206.0,166.0,166.0,,-19,8342468
3.2938,2019-09-08 18:20:43.291026,316.0,186.0,172.0,220.0,206.0,198.0,166.0,288.0,,-19,8342409
3.3096,2019-09-08 18:20:43.319571,318.0,186.0,172.0,218.0,198.0,206.0,286.0,206.0,,-19,8342015
3.3363,2019-09-08 18:20:43.327768,318.0,186.0,172.0,218.0,166.0,206.0,196.0,166.0,,-19,8343050
3.3443,2019-09-08 18:20:43.341331,318.0,186.0,172.0,220.0,166.0,286.0,198.0,198.0,,-19,8341531
3.3578,2019-09-08 18:20:43.353001,318.0,186.0,172.0,218.0,286.0,206.0,198.0,166.0,,-19,8342191
