6.5411,-5.76,0.72,-0.21682,64.8
6.5525,-5.76,0.72,-0.21535,64.8
6.5712,-5.76,0.72,-0.21388,64.8
6.5911,-5.76,0.72,-0.2136,64.8
6.6106,-5.76,0.72,-0.21145,64.8
6.6403,-5.76,0.72,-0.21114,64.8
6.6523,-5.76,0.72,-0.20882,64.8
6.6699,-5.76,0.72,-0.20659,64.8
6.6899,-5.76,0.72,-0.20521,64.8
6.7084,-5.76,0.72,-0.20463,64.8
6.7275,-5.76,0.72,-0.2031,64.8
6.7478,-5.76,0.72,-0.20203,64.8
6.767,-5.76,0.72,-0.20159,64.8
6.7918,-5.76,0.72,-0.20183,64.8
6.8081,-5.76,0.72,-0.20267,64.8
6.8294,-5.76,0.72,-0.20404,64.8
6.8565,-5.76,0.72,-0.20483,64.8
6.8734,-5.76,0.72,-0.20583,64.8
6.8937,-5.76,0.72,-0.20776,64.8
6.9149,-5.76,0.72,-0.20766,64.8
6.9336,-5.76,0.72,-0.20939,64.8
6.9516,-5.76,0.72,-0.2106,64.8
6.9744,-5.76,0.72,-0.21048,64.8
7.0008,-5.76,0.72,-0.20996,64.8
7.0272,-5.76,0.72,-0.21003,64.8
7.0719,-5.76,0.72,-0.20585,64.8
7.0795,-5.76,0.72,-0.20568,64.8
7.1042,-5.76,0.72,-0.20309,64.8
7.1186,-5.76,0.72,-0.20221,64.8
7.1347,-5.76,0.72,-0.20266,64.8
7.1542,-5.76,0.72,-0.20099,64.8
7.1772,-5.76,0.72,-0.20074,64.8
7.2094,-5.76,0.72,-0.19615,64.8
7.2609,-5.76,0.72,-0.18811,64.8
7.2785,-5.76,0.72,-0.18598,64.8
7.293,-5.76,0.72,-0.18153,64.8
7.3044,-5.76,0.72,-0.18019,64.8
7.3163,-5.76,0.72,-0.17782,64.8
7.3488,-5.76,0.72,-0.17127,64.8
7.3606,-5.76,0.72,-0.16753,64.8
7.3745,-5.76,0.72,-0.16261,64.8
7.3902,-5.76,0.72,-0.15851,64.8
7.4189,-5.76,0.72,-0.15299,64.8
7.4318,-5.76,0.72,-0.15001,64.8
7.4558,-5.76,0.72,-0.14816,64.8
7.4775,-5.76,0.72,-0.1484,64.8
7.4896,-5.76,0.72,-0.14948,64.8
7.5091,-5.76,0.72,-0.15154,64.8
7.5299,-5.76,0.72,-0.15291,64.8
7.5484,-5.76,0.72,-0.15365,64.8
7.6156,-5.76,0.72,-0.15449,64.8
7.6242,-5.76,0.72,-0.15428,64.8
7.6361,-5.76,0.72,-0.15424,64.8
7.6618,-5.76,0.72,-0.15442,64.8
7.6693,-5.76,0.72,-0.15488,64.8
7.7111,-5.76,0.72,-0.15555,64.8
7.719,-5.76,0.72,-0.15638,64.8
7.7299,-5.76,0.72,-0.15727,64.8
7.7493,-5.76,0.72,-0.15659,64.8
7.7679,-5.76,0.72,-0.15883,64.8
7.7863,-5.76,0.72,-0.15952,64.8
7.8051,-5.76,0.72,-0.16188,64.8
7.8267,-5.76,0.72,-0.16463,64.8
7.8461,-5.76,0.72,-0.16623,64.8
7.8654,-5.76,0.72,-0.16931,64.8
7.8893,-5.76,0.72,-0.17349,64.8
7.9053,-5.76,0.72,-0.17708,64.8
7.9315,-5.76,0.72,-0.18217,64.8
7.9434,-5.76,0.72,-0.18479,64.8
7.9628,-5.76,0.72,-0.18721,64.8
7.9833,-5.76,0.72,-0.19283,64.8
8.0089,-5.76,0.72,-0.19696,65.52
8.0556,-5.76,1.44,-0.20787,65.52
8.0931,-5.76,1.44,-0.21554,65.52
8.1012,-5.76,1.44,-0.21917,65.52
8.1224,-5.76,1.44,-0.22624,65.52
8.1365,-5.76,1.44,-0.23261,66.24
8.1588,-5.76,2.16,-0.24242,66.24
8.1834,-5.76,2.16,-0.25159,66.24
8.1973,-5.76,2.16,-0.25859,66.24
8.2163,-5.76,2.16,-0.26845,66.96
8.2389,-5.76,2.88,-0.2793,66.96
8.2603,-5.76,2.88,-0.28577,66.96
8.2787,-5.76,2.88,-0.2941,66.96
8.2985,-5.76,2.88,-0.30231,66.96
8.3111,-5.76,2.88,-0.31214,66.96
8.3314,-5.76,2.88,-0.32997,66.96
8.3494,-6.48,2.88,-0.33849,67.68
8.369,-6.48,3.6,-0.35809,67.68
8.3976,-6.48,3.6,-0.39398,67.68
8.4101,-6.48,3.6,-0.41061,67.68
8.4308,-7.2,3.6,-0.43295,67.68
8.4493,-7.2,3.6,-0.46101,67.68
8.467,-7.2,3.6,-0.47458,68.4
8.486,-7.2,4.32,-0.49459,68.4
8.5088,-7.2,4.32,-0.51605,68.4
8.5275,-7.2,4.32,-0.53202,68.4
8.55,-7.2,4.32,-0.54185,68.4
